ProcTemp,Current,EnergyCon,EnvTemp,Voltage,PowerFactor,CO2_Emissions
49.41,3.47,0.22,8.8,230.1,0.92,0.180
56.68,3.47,0.22,8.9,229.8,0.91,0.180
58.84,3.5,0.22,8.2,230.5,0.93,0.180
59.33,3.52,0.23,7.7,230.0,0.92,0.188
59.52,3.51,0.22,7.9,230.2,0.91,0.180
60.08,3.5,0.22,8.1,230.4,0.92,0.180
60.8,3.69,0.24,5.9,229.5,0.94,0.196
61.35,3.55,0.23,7.2,230.1,0.93,0.188
61.47,3.84,0.25,4.8,229.9,0.95,0.205
60.94,3.86,0.25,4.7,230.0,0.94,0.205
60.35,3.87,0.25,4.7,230.1,0.94,0.205
61.06,3.87,0.25,4.7,229.8,0.94,0.205
60.71,3.88,0.25,4.6,230.2,0.95,0.205
60.53,3.87,0.25,4.7,230.0,0.94,0.205
60.05,3.86,0.25,4.8,230.3,0.95,0.205
59.51,3.86,0.25,4.7,229.7,0.94,0.205
59.5,3.88,0.25,4.6,230.1,0.95,0.205
59.83,3.89,0.25,4.5,230.0,0.94,0.205
59.67,3.89,0.25,4.5,230.2,0.94,0.205
59.55,4.75,0.3,4.1,228.9,0.96,0.246
59.5,4.09,0.26,4.2,229.4,0.95,0.213
59.6,3.8,0.24,5.2,230.1,0.93,0.196
60.32,4.08,0.26,4.2,229.5,0.95,0.213
60.04,3.73,0.24,5.5,230.0,0.93,0.196
59.64,3.47,0.22,8.9,230.4,0.91,0.180
59.56,3.84,0.25,4.8,229.9,0.94,0.205
59.6,3.61,0.23,6.4,230.2,0.93,0.188
59.88,4.02,0.26,4.2,229.6,0.95,0.213
60.32,3.52,0.22,7.7,230.1,0.92,0.180
60.91,3.52,0.22,7.7,230.3,0.92,0.180
61.44,3.47,0.22,8.9,230.5,0.91,0.180
61.62,3.5,0.22,7.9,230.2,0.92,0.180
61.24,3.54,0.23,7.4,230.1,0.92,0.188
59.97,3.54,0.23,7.4,230.0,0.93,0.188
59.81,3.61,0.23,6.5,230.2,0.93,0.188
59.55,3.47,0.22,8.9,230.4,0.91,0.180
59.23,3.47,0.22,9.0,230.5,0.91,0.180
59.26,3.43,0.22,9.7,230.6,0.91,0.180
59.94,3.89,0.25,4.6,229.9,0.94,0.205
60.78,3.89,0.25,4.5,230.1,0.94,0.205
61.46,3.89,0.25,4.4,230.0,0.95,0.205
61.73,3.9,0.25,4.4,229.8,0.94,0.205
61.24,3.92,0.25,4.4,229.9,0.95,0.205
60.2,4.11,0.26,4.2,229.3,0.95,0.213
59.53,3.95,0.25,4.3,229.8,0.94,0.205
59.5,3.89,0.25,4.5,230.1,0.94,0.205
